Column 1,OSMrel,Kommun,Naturreservat,alltrails,coord,www,length,OSMrelation,Naturkartan
"Sörmlandsleden, etapp 52 ",7449057,,,,58.808317 17.367767,https://www.sormlandsleden.se/vandring/etapp/etapp-52,7.5,https://www.openstreetmap.org/relation/7449057,sodermanlands-lan/52
"Sörmlandsleden, etapp 53 ",6571869,,,,58.795383 17.419067,https://www.sormlandsleden.se/vandring/etapp/etapp-53-2/,11,https://www.openstreetmap.org/relation/6571869,sodermanlands-lan/53
"Sörmlandsleden, etapp 53:1 ",8426186,,,,58.794767 17.423150,https://www.sormlandsleden.se/vandring/etapp/etapp-53-1,8,https://www.openstreetmap.org/relation/8426186,sodermanlands-lan/531
"Sörmlandsleden, etapp 53:2 ",8426185,,,,,,,https://www.openstreetmap.org/relation/8426185,
"Sörmlandsleden, etapp 54 ",6568069,,,,58.846450 17.381400,https://www.sormlandsleden.se/vandring/etapp/etapp-54/,8.5,https://www.openstreetmap.org/relation/6568069,sv/sodermanlands-lan/54
"Sörmlandsleden, etapp 55 ",6567861,,,,58.875217 17.421583,https://www.sormlandsleden.se/vandring/etapp/etapp-55,16,https://www.openstreetmap.org/relation/6567861,sodermanlands-lan/sormlandsleden-etapp-55-gisekvarn-trosa
"Sörmlandsleden, etapp 55:1 ",8425612,,,,58.917183 17.369667,https://www.sormlandsleden.se/vandring/etapp/etapp-55-1/,17,https://www.openstreetmap.org/relation/8425612,sodermanlands-lan/sormlandsleden-etapp-55-1-sillekrog-hungaskogen
"Sörmlandsleden, etapp 56 ",7449018,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-56-tullgarns-slott-trosa,58.899950 17.546467,https://www.sormlandsleden.se/vandring/etapp/etapp-56/,20,https://www.openstreetmap.org/relation/7449018,
"Sörmlandsleden, etapp 57 ",7448870,,,sv-se/led/sweden/sodermanland/sormlandsleden-etapp-57-tullgarns-slott-kasholmen,58.956733 17.575300,https://www.sormlandsleden.se/vandring/etapp/etapp-57/,11.5,https://www.openstreetmap.org/relation/7448870,
"Sörmlandsleden, etapp 58 ",7448733,,,explore/trail/sweden/stockholm/sormlandsleden-etapp-58-kasholmen-skanssundet,58.988900 17.623717,https://www.sormlandsleden.se/vandring/etapp/etapp-58,10.5,https://www.openstreetmap.org/relation/7448733,
"Sörmlandsleden, etapp 59 ",5280050,,,sv-se/led/sweden/stockholm/sormlandsleden-etapp-59-skanssundet-viad,59.052583 17.693667,https://www.sormlandsleden.se/vandring/etapp/etapp-59,9,https://www.openstreetmap.org/relation/5280050,
"Sörmlandsleden, etapp 60 ",5279829,,,sv-se/led/sweden/stockholm/sormlandsleden-etapp-60-viad-berga-vagskal,59.112000 17.697633,https://www.sormlandsleden.se/vandring/etapp/etapp-60,7.5,https://www.openstreetmap.org/relation/5279829,
"Sörmlandsleden, etapp 61 ",5279830,Botkyrka kommun,,sv-se/led/sweden/stockholm/sormlandsleden-etapp-61-berga-vagskal-kvarnsjon,59.126400 17.766750,https://www.sormlandsleden.se/vandring/etapp/etapp-61,5.5,https://www.openstreetmap.org/relation/5279830,
"Sörmlandsleden, etapp 62 ",5655292,"Botkyrka kommun, Stockholms kommun",Lida naturreservat  ,sv-se/led/sweden/stockholm/sormlandsleden-etapp-62-kvarnsjon-svarvaretorp,59.149650 17.798117,https://www.sormlandsleden.se/vandring/etapp/etapp-62,7.7,https://www.openstreetmap.org/relation/5655292,
"Sörmlandsleden, etapp 13:2 ",7604344,,,,59.180250 17.428217,https://www.sormlandsleden.se/vandring/etapp/etapp-13-2,17,https://www.openstreetmap.org/relation/7604344,
"Sörmlandsleden, etapp 28:1 ",8309519,,,,,,,https://www.openstreetmap.org/relation/8309519,
"Sörmlandsleden, etapp 32:2",10998868,,,,58.667500 16.463933,https://www.sormlandsleden.se/vandring/etapp/etapp-32-2,1.5,https://www.openstreetmap.org/relation/10998868,
