,id,type,geometry.type,geometry.coordinates,properties.url,properties.link,properties.name,properties.slug,properties.tags,properties.time,properties.type,properties.facts,properties.icons.normal,properties.icons.inactive,properties.icons.highlighted,properties.shape.type,properties.length,properties.source,properties.address,properties.current,properties.tagline,properties.children,properties.inactive,properties.list_ids,properties.surfaces,properties.trip_ids,properties.image_url,properties.link_text,properties.published,properties.categories,properties.difficulty,properties.directions,properties.image_urls,properties.map_source,properties.source_uid,properties.description,properties.booking_link,properties.partner_link,properties.main_category.id,properties.main_category.name,properties.main_category.slug,properties.main_category.type,properties.main_category.color,properties.main_category.label,properties.booking_link_text,properties.partner_link_text,properties.short_description,properties.wheelchair_tested,properties.business_site_data,properties.show_in_brand_site,properties.trail_status_reported_at,properties.business_site_data.address,properties.business_site_data.telephone,properties.business_site_data.website_url,properties.business_site_data.opening_hours,properties.color,properties.parent
10,14076,Feature,Point,"[17.7732779208126, 60.5671921654474]",https://www.naturkartan.se/sv/uppsalalan/parkering-kallarberget-3,,"Toalett, Källarberget",parkering-kallarberget-3,[],,place,,https://assets.naturkartan.se/assets/icons/14076/pin.svg,https://assets.naturkartan.se/assets/icons/14076/pin.svg,https://assets.naturkartan.se/assets/icons/14076/highlighted.svg,Marker,,,,,Tillgänglig torrtoalett vid Källarbergets naturreservat.,[],False,[],[],[],https://uploads.naturkartan-cdn.se/default-site-place.png,,True,"[{'id': 49, 'name': 'near-parking', 'slug': 'near-parking', 'type': 'AccessibilityType', 'color': '#3a8aa6', 'label': 'Nära parkering'}, {'id': 65, 'name': 'toilet', 'slug': 'toilet', 'type': 'FacilityType', 'color': '#3a8aa6', 'label': 'Toalett'}]",,,['https://uploads.naturkartan-cdn.se/default-site-place.png'],,,Tillgänglig torrtoalett vid Källarbergets naturreservat.,,,65.0,toilet,toilet,FacilityType,#3a8aa6,Toalett,,,Tillgänglig torrtoalett vid Källarbergets naturreservat.,False,,True,,,,,,,
11,13735,Feature,Point,"[12.7496700893994, 56.0226123660891]",https://www.naturkartan.se/sv/helsingborg/ramlosaravinens-grillplats,,Ramlösaravinens Grillplats,ramlosaravinens-grillplats,[],,place,,https://assets.naturkartan.se/assets/icons/13735/pin.svg,https://assets.naturkartan.se/assets/icons/13735/pin.svg,https://assets.naturkartan.se/assets/icons/13735/highlighted.svg,Marker,,,,,,[],False,[],[],[],https://uploads.naturkartan-cdn.se/default-site-place.png,,True,"[{'id': 51, 'name': 'near-toilet', 'slug': 'near-toilet', 'type': 'AccessibilityType', 'color': '#3a8aa6', 'label': 'Nära toalett'}, {'id': 62, 'name': 'firesite', 'slug': 'firesite', 'type': 'FacilityType', 'color': '#3a8aa6', 'label': 'Grillplats/Eldplats'}]",,,['https://uploads.naturkartan-cdn.se/default-site-place.png'],,,,,,62.0,firesite,firesite,FacilityType,#3a8aa6,Grillplats/Eldplats,,,,False,,True,,,,,,,
12,13793,Feature,Point,"[12.7356371634376, 55.9996807457705]",https://www.naturkartan.se/sv/helsingborg/orby-angar-norras-badplats-2,,Råås Utegym,orby-angar-norras-badplats-2,[],,place,,https://assets.naturkartan.se/assets/icons/13793/pin.svg,https://assets.naturkartan.se/assets/icons/13793/pin.svg,https://assets.naturkartan.se/assets/icons/13793/highlighted.svg,Marker,,,,,,[],False,[],[],[],https://uploads.naturkartan-cdn.se/default-site-place.png,,True,"[{'id': 27, 'name': 'outdoor-gym', 'slug': 'outdoor-gym', 'type': 'ActivityType', 'color': '#3a8aa6', 'label': 'Utegym'}]",,,['https://uploads.naturkartan-cdn.se/default-site-place.png'],,,,,,27.0,outdoor-gym,outdoor-gym,ActivityType,#3a8aa6,Utegym,,,,False,,True,,,,,,,
13,14752,Feature,Point,"[17.9256245744243, 59.3446627367189]",https://www.naturkartan.se/sv/stockholmsstad/informationsskylt-nara-mojbrovagen,,Informationsskylt nära Möjbrovägen,informationsskylt-nara-mojbrovagen,[],,place,,https://assets.naturkartan.se/assets/icons/14752/pin.svg,https://assets.naturkartan.se/assets/icons/14752/pin.svg,https://assets.naturkartan.se/assets/icons/14752/highlighted.svg,Marker,,,,,Informationsskylt nära Möjbrovägen,[],False,[],[],[],https://uploads.naturkartan-cdn.se/default-site-place.png,,True,"[{'id': 63, 'name': 'info', 'slug': 'info', 'type': 'FacilityType', 'color': '#3a8aa6', 'label': 'Information'}]",,,['https://uploads.naturkartan-cdn.se/default-site-place.png'],,,Informationsskylt nära Möjbrovägen,,,63.0,info,info,FacilityType,#3a8aa6,Information,,,Informationsskylt nära Möjbrovägen,False,,True,,,,,,,
14,9117,Feature,Point,"[17.9943206906319, 59.2712809786658]",https://www.naturkartan.se/sv/stockholmsstad/grillplats-vid-idrottsplatsen,,Grillplats vid idrottsplatsen,grillplats-vid-idrottsplatsen,[],,place,,https://assets.naturkartan.se/assets/icons/9117/pin.svg,https://assets.naturkartan.se/assets/icons/9117/pin.svg,https://assets.naturkartan.se/assets/icons/9117/highlighted.svg,Marker,,,,,Grillplats vid idrottsplatsen,[],False,[],[],[],https://uploads.naturkartan-cdn.se/9c08ffa1f92d90be4d77e3534d606a8f.jpg,,True,"[{'id': 62, 'name': 'firesite', 'slug': 'firesite', 'type': 'FacilityType', 'color': '#3a8aa6', 'label': 'Grillplats/Eldplats'}]",,,['https://uploads.naturkartan-cdn.se/9c08ffa1f92d90be4d77e3534d606a8f.jpg'],,,Grillplats vid idrottsplatsen,,,62.0,firesite,firesite,FacilityType,#3a8aa6,Grillplats/Eldplats,,,Grillplats vid idrottsplatsen,False,,True,,,,,,,
15,14760,Feature,Point,"[17.9231836530963, 59.3408741881414]",https://www.naturkartan.se/sv/stockholmsstad/informationsskylt-vid-hundstallet,,Informationsskylt vid hundstallet,informationsskylt-vid-hundstallet,[],,place,,https://assets.naturkartan.se/assets/icons/14760/pin.svg,https://assets.naturkartan.se/assets/icons/14760/pin.svg,https://assets.naturkartan.se/assets/icons/14760/highlighted.svg,Marker,,,,,Informationsskylt vid hundstallet,[],False,[],[],[],https://uploads.naturkartan-cdn.se/default-site-place.png,,True,"[{'id': 63, 'name': 'info', 'slug': 'info', 'type': 'FacilityType', 'color': '#3a8aa6', 'label': 'Information'}]",,,['https://uploads.naturkartan-cdn.se/default-site-place.png'],,,Informationsskylt vid hundstallet,,,63.0,info,info,FacilityType,#3a8aa6,Information,,,Informationsskylt vid hundstallet,False,,True,,,,,,,
16,13754,Feature,Point,"[12.7498940745987, 55.9892576024456]",https://www.naturkartan.se/sv/helsingborg/orby-angars-offentliga-toaletter,,Örby Ängars Offentliga Toaletter,orby-angars-offentliga-toaletter,[],,place,,https://assets.naturkartan.se/assets/icons/13754/pin.svg,https://assets.naturkartan.se/assets/icons/13754/pin.svg,https://assets.naturkartan.se/assets/icons/13754/highlighted.svg,Marker,,,,,,[],False,[],[],[],https://uploads.naturkartan-cdn.se/default-site-place.png,,True,"[{'id': 65, 'name': 'toilet', 'slug': 'toilet', 'type': 'FacilityType', 'color': '#3a8aa6', 'label': 'Toalett'}]",,,['https://uploads.naturkartan-cdn.se/default-site-place.png'],,,,,,65.0,toilet,toilet,FacilityType,#3a8aa6,Toalett,,,,False,,True,,,,,,,
17,14806,Feature,Point,"[18.1361276484681, 59.2580359321444]",https://www.naturkartan.se/sv/stockholmsstad/busshallplats-listuddsfaltet,,Busshållplats Listuddsfältet,busshallplats-listuddsfaltet,[],,place,,https://assets.naturkartan.se/assets/icons/14806/pin.svg,https://assets.naturkartan.se/assets/icons/14806/pin.svg,https://assets.naturkartan.se/assets/icons/14806/highlighted.svg,Marker,,,,,"Busshållplats Listuddsfältet, buss 180",[],False,[],[],[],https://uploads.naturkartan-cdn.se/default-site-place.png,,True,"[{'id': 53, 'name': 'bus-stop', 'slug': 'bus-stop', 'type': 'FacilityType', 'color': '#3a8aa6', 'label': 'Kollektivtrafik'}]",,,['https://uploads.naturkartan-cdn.se/default-site-place.png'],,,Busshållplats Listuddsfältet,,,53.0,bus-stop,bus-stop,FacilityType,#3a8aa6,Kollektivtrafik,,,Busshållplats Listuddsfältet,False,,True,,,,,,,
18,12950,Feature,Point,"[16.7603529856779, 66.3135099719841]",https://www.naturkartan.se/sv/norrbottenslan/tc-torrdass,,Dass Luvtávrre,tc-torrdass,[],,place,,https://assets.naturkartan.se/assets/icons/12950/pin.svg,https://assets.naturkartan.se/assets/icons/12950/pin.svg,https://assets.naturkartan.se/assets/icons/12950/highlighted.svg,Marker,,,,,På platsen finns ett dass som förvaltas av Länsstyrelsen. Dasset är inte utrusta,[],False,[],[],[],https://uploads.naturkartan-cdn.se/0778d6979af44617edb8a808ccb76828.jpg,,True,"[{'id': 65, 'name': 'toilet', 'slug': 'toilet', 'type': 'FacilityType', 'color': '#3a8aa6', 'label': 'Toalett'}]",,,"['https://uploads.naturkartan-cdn.se/0778d6979af44617edb8a808ccb76828.jpg', 'https://uploads.naturkartan-cdn.se/060711b1c0934bd7644936b69327411f.jpg']",,,"På platsen finns ett dass som förvaltas av Länsstyrelsen. Dasset är inte utrustat med toalettpapper. Länsstyrelsen har ingen sophantering till fjälls längre, så lämna inte några sopor här. Kom ihåg att stänga dörren efter besöket.",,,65.0,toilet,toilet,FacilityType,#3a8aa6,Toalett,,,På platsen finns ett dass som förvaltas av Länsstyrelsen. Dasset är inte utrusta,False,,True,,,,,,,
19,8366,Feature,Point,"[18.4668910503387, 60.3459965114026]",https://www.naturkartan.se/sv/uppsalalan/parkeringsplats-graso-gard-2,,"Parkeringsplats, Gräsö gård",parkeringsplats-graso-gard-2,[],,place,,https://assets.naturkartan.se/assets/icons/8366/pin.svg,https://assets.naturkartan.se/assets/icons/8366/pin.svg,https://assets.naturkartan.se/assets/icons/8366/highlighted.svg,Marker,,,,,Parkeringen ligger i anslutning till Gräsö gårds vandrarhem och informationsbygg,[],False,[],[],[],https://uploads.naturkartan-cdn.se/614af24887d020bc57100ea192389da1.jpg,,True,"[{'id': 51, 'name': 'near-toilet', 'slug': 'near-toilet', 'type': 'AccessibilityType', 'color': '#3a8aa6', 'label': 'Nära toalett'}, {'id': 66, 'name': 'parking', 'slug': 'parking', 'type': 'FacilityType', 'color': '#3a8aa6', 'label': 'Parkeringsplats'}]",,,['https://uploads.naturkartan-cdn.se/614af24887d020bc57100ea192389da1.jpg'],,,Parkeringen ligger i anslutning till Gräsö gårds vandrarhem och informationsbyggnaden.,,,66.0,parking,parking,FacilityType,#3a8aa6,Parkeringsplats,,,Parkeringen ligger i anslutning till Gräsö gårds vandrarhem och informationsbygg,False,,True,,,,,,,
